c808cdc3-6565-4d79-a324-41d7a7417893
SubClient Configuration Information
Generated on: Feb 23, 2023, 1:17:18 AM

Subclient Properties
"Company","Client","Agent","Instance","Backup Set","Subclient"
"CommServ","avmedftcma01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","avmedftcma02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default - Do not add servers"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default1_Prod"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default10"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default11_Dev"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default12_Prod"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default13_Dev"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default14_Dev"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default15_Dev"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","default16_Dev"
"CommServ","AVMEDFTCvcentre","Virtual Server","VMware","defaultBackupSet","Default17"
