Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2563877","ahp0218","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 07:00:13 AM"
"2563876","ahppdwanlysql01","SQL Server","N/A","default","Backup","Transaction Log","14615504","322380","Completed","","2.720","","","Nov 24, 2022, 07:00:13 AM"
"2563875","ahppdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","51906464","7572588","Completed","","6.000","","","Nov 24, 2022, 07:00:13 AM"
"2563874","ahppdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","6292066","93267","Completed","","0.070","","","Nov 24, 2022, 07:00:13 AM"
"2563873","ahptdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","2359540","30105","Completed","","0.660","","","Dec 10, 2022, 07:00:12 AM"
"2563872","ahpddwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","3539310","45332","Completed","","0.910","","","Dec 10, 2022, 07:00:12 AM"
"2563871","ahppdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","41222510","10888647","Completed","","0.630","","","Nov 24, 2022, 07:00:12 AM"
"2563870","ahptdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","15925492","4561532","Completed","","3.810","","","Dec 10, 2022, 07:00:12 AM"
"2563869","ahptdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","22611872","1047703","Completed","","1.810","","","Dec 10, 2022, 07:00:12 AM"
"2563868","ahppdwintvsql03","SQL Server","N/A","default","Backup","Transaction Log","214763790","54603931","Completed","","15.320","","","Nov 24, 2022, 07:00:12 AM"
"2563867","ahppdwaxmvsql03","SQL Server","N/A","default","Backup","Transaction Log","10748392","153195","Completed","","3.280","","","Nov 24, 2022, 07:00:12 AM"
"2563866","ahppdwpsfvsql03","SQL Server","N/A","default","Backup","Transaction Log","34275938","7177790","Completed","","8.840","","","Nov 24, 2022, 07:00:12 AM"
"2563865","ahp0430","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 07:00:12 AM"
"2563864","AHPPDWINFA01","SQL Server","N/A","default","Backup","Transaction Log","55642138","10287772","Completed","","0.230","","","Nov 24, 2022, 07:00:12 AM"
"2563863","ahppdwvrnssql01","SQL Server","N/A","default","Backup","Transaction Log","4719080","61383","Completed","","0.060","","","Nov 24, 2022, 07:00:12 AM"
"2563862","AHPPDWINTVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","116719982","32714898","Completed","","39.130","","","Nov 24, 2022, 07:00:12 AM"
"2563861","AHPPDWINTVSQL02","SQL Server","N/A","default","Backup","Transaction Log","13501758","191770","Completed","","2.060","","","Nov 24, 2022, 07:00:11 AM"
"2563860","AHPPDWHRPVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 07:00:11 AM"
